Act.CD4,Act.CD8,Tem.CD4,Tem.CD8,MDSC,Treg,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts,Danaher.B.cells,Danaher.CD45,Danaher.CD8.T.cells,Danaher.Cytotoxic.cells,Danaher.DC,Danaher.Exhausted.CD8,Danaher.Macrophages,Danaher.Mast.cells,Danaher.Neutrophils,Danaher.NK.CD56dim.cells,Danaher.NK.cells,Danaher.T.cells,Danaher.Th1.cells,Danaher.Treg
1.03404,1.74246,1.07224,1.38978,-1.83942,-0.97726,2.013753,3.4072,2.74532,-0.294775,1.021913,4.210286,2.01736,0.74202,3.649545,9.024275,0.547,4.734,4.489,3.496,2.127,2.44,2.287,5.397,-0.96,-6,1.757,3.564,1.728,3.344
1.28952,1.77504,1.06954,1.42515,-1.7624,-0.85345,2.272073,3.1878,2.4658,-0.358375,2.751062,4.3411,0.55066,0.70944,3.886382,8.42755,1.584,4.403,3.813,3.046,1.418,2.105,2.238,1.502,-2.288,-2.747,1.194,3.163,1.677,2.903
1.10874,1.82919,1.21415,1.5959,-1.95546,-1.25422,2.650733,3.794,3.1112,-0.06325,1.917,4.360429,2.9228,2.0252,5.150424,9.639625,0.643,4.787,4.526,3.89,5.132,2.529,2.136,3.848,0.161,-2.417,1.699,3.854,1.964,2.782
1.40032,1.82759,1.04896,1.4996,-2.14626,-1.16376,2.308253,2.9838,2.56952,-0.154475,2.514562,5.244729,0.18052,0.46932,3.566564,8.712075,1.158,5.342,4.07,3.554,2.068,2.711,2.821,3.681,-0.457,-1.238,1.834,3.581,1.863,3.399
0.88172,1.20941,0.91584,1.074,-1.55993,-0.85705,0.342353,0.0946,-0.2032,-2.49525,-1.0418,3.924557,-0.85754,0.414313,2.749652,8.921912,-2.085,1.81,0.654,0.488,0.872,0.426,1.92,2.897,-0.322,-5.908,-1.073,0.793,-1.206,2.365
1.54779,2.04569,1.08117,1.59843,-2.31286,-1.3149,3.074867,4.197,3.4868,0.252,3.62575,5.629143,2.3978,0.911067,2.722697,7.920125,3.118,5.47,5.04,4.578,3.702,3.484,3.221,1.596,0.257,-0.899,2.243,4.318,2.915,4.133
1.00526,1.50086,1.09918,1.37776,-2.24653,-1.07608,2.023587,0.8862,1.81336,-0.6318,3.695137,4.671943,1.59416,1.01274,3.9852,9.552625,2.246,4.545,2.21,2.032,1.418,1.301,1.782,4.141,-0.267,-5.478,0.609,2.909,0.243,2.598
0.55364,1.02378,1.0489,1.10566,-1.21984,-0.69484,0.434667,-0.301,1.6756,-0.76175,-0.58625,2.841143,-1.0854,1.6568,5.303515,8.388125,-2.017,3.601,1.244,1.589,1.682,1.607,1.335,2.468,-2.204,-4.694,-0.776,0.782,0.711,0.827
1.35718,1.56229,0.99877,1.36554,-1.94935,-0.96996,1.60112,1.5354,1.84976,-1.3899,1.752363,4.955157,1.6082,1.303787,3.594291,8.635775,0.487,4.918,2.499,2.156,1.316,1.312,2.057,2.125,-0.889,-3.467,0.242,2.547,0.486,3.012
0.89241,1.35852,1.18471,1.36511,-1.77281,-1.14129,1.290747,1.6566,1.12994,-2.103475,-0.0461,3.997486,1.44156,1.152127,4.035773,10.044025,-0.117,4.625,2.785,2.307,1.707,1.513,2.301,5.762,-0.024,-5.257,-0.196,2.398,0.766,2.646
